"Date","Price","Open","High","Low","Vol.","Change %"
"11/16/2021","2,015.62","2,000.15","2,015.80","1,991.75","","0.96%"
"11/15/2021","1,996.38","2,001.35","2,007.06","1,987.21","","0.18%"
"11/12/2021","1,992.80","1,980.18","1,994.17","1,978.32","","0.92%"
"11/11/2021","1,974.61","1,966.68","1,982.48","1,963.99","","0.33%"
"11/10/2021","1,968.12","2,010.16","2,012.61","1,959.35","","-2.23%"
"11/09/2021","2,013.05","2,019.22","2,022.39","2,000.91","","-0.36%"
"11/08/2021","2,020.32","2,005.84","2,024.89","2,004.97","","0.51%"
"11/05/2021","2,010.00","2,025.53","2,027.08","2,004.19","","-0.89%"
"11/04/2021","2,028.14","2,028.14","2,028.84","2,002.74","","1.45%"
"11/03/2021","1,999.08","1,981.26","2,000.60","1,975.19","","0.89%"
"11/02/2021","1,981.41","1,974.58","1,982.51","1,972.90","","0.30%"
"11/01/2021","1,975.54","1,949.08","1,976.23","1,948.40","","1.59%"
"10/29/2021","1,944.61","1,942.97","1,944.72","1,931.10","","0.11%"
"10/28/2021","1,942.39","1,914.12","1,942.44","1,911.27","","1.41%"
"10/27/2021","1,915.29","1,933.81","1,942.34","1,915.24","","-1.15%"
"10/26/2021","1,937.55","1,941.47","1,953.29","1,933.73","","-0.05%"
"10/25/2021","1,938.43","1,924.84","1,943.18","1,922.48","","0.67%"
"10/22/2021","1,925.59","1,938.05","1,944.23","1,924.32","","-0.66%"
"10/21/2021","1,938.38","1,933.58","1,938.49","1,926.76","","0.15%"
"10/20/2021","1,935.40","1,932.95","1,936.47","1,925.14","","0.06%"
"10/19/2021","1,934.22","1,913.99","1,934.68","1,913.24","","1.32%"
"10/18/2021","1,909.07","1,905.71","1,909.60","1,898.54","","0.01%"
"10/15/2021","1,908.92","1,903.96","1,919.08","1,903.39","","0.68%"
"10/14/2021","1,896.01","1,868.71","1,897.17","1,867.09","","1.68%"
"10/13/2021","1,864.66","1,846.26","1,871.55","1,845.24","","1.00%"
"10/12/2021","1,846.18","1,837.52","1,849.48","1,835.18","","0.13%"
"10/11/2021","1,843.79","1,856.80","1,862.97","1,842.53","","-0.49%"
"10/08/2021","1,852.93","1,866.45","1,869.96","1,851.66","","-0.58%"
"10/07/2021","1,863.65","1,835.46","1,873.33","1,833.96","","1.77%"
"10/06/2021","1,831.17","1,833.89","1,836.53","1,811.82","","-0.35%"
"10/05/2021","1,837.56","1,826.48","1,851.42","1,821.41","","0.19%"
"10/04/2021","1,834.15","1,865.68","1,867.97","1,827.19","","-1.93%"
"10/01/2021","1,870.19","1,864.61","1,874.03","1,849.89","","-0.08%"
"09/30/2021","1,871.74","1,872.11","1,884.93","1,870.09","","-0.02%"
"09/29/2021","1,872.14","1,881.06","1,889.66","1,869.61","","-0.96%"
"09/28/2021","1,890.30","1,944.05","1,945.14","1,889.10","","-3.07%"
"09/27/2021","1,950.22","1,961.34","1,963.90","1,939.10","","-0.71%"
"09/24/2021","1,964.13","1,976.35","1,976.81","1,956.14","","-0.37%"
"09/23/2021","1,971.47","1,945.23","1,974.11","1,944.95","","1.29%"
"09/22/2021","1,946.42","1,925.71","1,950.39","1,923.77","","0.73%"
"09/21/2021","1,932.31","1,929.07","1,941.81","1,925.20","","-0.18%"
"09/20/2021","1,935.73","1,972.44","1,972.57","1,922.43","","-1.94%"
