time,low,high,open,close,volume
2021-02-01,1271.31,1378.02,1313.95,1374.6,282549.58638538
2021-02-02,1360.27,1549.0,1374.55,1513.67,596570.35740844
2021-02-03,1509.48,1672.21,1513.85,1668.72,492422.63736011
2021-02-04,1556.0,1699.0,1668.71,1597.55,531943.12791716
2021-02-05,1589.17,1763.93,1597.34,1721.06,414535.83691975
2021-02-06,1646.7,1745.25,1721.06,1679.77,330440.89591973
2021-02-07,1493.28,1695.38,1679.76,1615.32,416691.917484
2021-02-08,1565.98,1780.0,1615.51,1752.98,454314.62328634
2021-02-09,1710.01,1824.23,1752.98,1772.16,345860.43376582
2021-02-10,1680.0,1839.0,1771.91,1742.93,368565.10934926
2021-02-11,1704.23,1819.0,1742.51,1787.32,263018.46640028
2021-02-12,1741.29,1868.9,1787.33,1845.0,324522.83669583
2021-02-13,1766.15,1877.88,1844.78,1818.01,222718.507164
2021-02-14,1785.07,1852.47,1817.85,1803.75,172443.99258151
2021-02-15,1659.93,1836.0,1803.25,1779.62,320429.97588848
2021-02-16,1725.0,1825.0,1780.59,1781.97,209801.29066471
2021-02-17,1733.87,1857.61,1782.14,1852.0,224624.79625355
2021-02-18,1851.47,1950.3,1851.9,1939.64,279501.81066288
2021-02-19,1890.0,1974.98,1939.64,1957.68,247118.43154671
2021-02-20,1811.25,2041.42,1957.9,1915.46,419107.37348279
2021-02-21,1885.0,1976.72,1915.01,1935.57,159669.07872776
2021-02-22,1507.34,1938.95,1935.67,1778.66,665395.31208108
2021-02-23,1356.0,1783.22,1778.33,1577.83,1013355.39743643
2021-02-24,1500.28,1714.0,1577.84,1625.3,440088.38004088
2021-02-25,1458.5,1672.49,1625.27,1482.62,335391.64228393
2021-02-26,1400.01,1564.11,1482.05,1445.18,380775.95904184
2021-02-27,1420.0,1526.82,1445.09,1460.57,231399.55692715
2021-02-28,1292.76,1469.96,1460.49,1422.02,460805.82144299
2021-03-01,1412.61,1574.28,1421.8,1571.82,313413.589566
2021-03-02,1455.86,1605.89,1571.87,1488.34,240668.58113618
2021-03-03,1476.72,1657.91,1488.34,1567.86,233779.70945241
2021-03-04,1504.06,1625.0,1568.4,1539.69,231528.48274717
2021-03-05,1442.32,1551.19,1539.53,1528.82,324961.01226774
