time,low,high,open,close,volume
2020-07-12,70.552,72.99,72.627,72.027,4956.77270299
2020-07-13,70.944,75.6,72.093,71.659,8695.95007256
2020-07-14,70.0,72.478,71.459,71.929,5941.45142677
2020-07-15,70.0,72.183,71.942,71.001,5104.13780329
2020-07-16,68.085,71.329,71.088,69.248,8398.63204258
2020-07-17,68.738,69.977,69.215,69.563,3698.073858
2020-07-18,68.735,69.711,69.545,69.27,3455.19263891
2020-07-19,68.84,73.0,69.183,70.558,5704.80615769
2020-07-20,68.572,70.636,70.558,68.849,3915.87348372
2020-07-21,68.788,71.307,68.798,71.307,5048.28358696
2020-07-22,71.317,74.001,71.317,73.896,8707.85928175
2020-07-23,72.531,74.214,73.825,73.56,11785.18245676
2020-07-24,71.435,73.565,73.482,72.244,5190.03782615
2020-07-25,72.256,75.368,72.256,74.703,9490.11766141
2020-07-26,74.261,77.852,74.829,75.391,9250.96785146
2020-07-27,73.299,79.646,75.403,77.756,22392.03671328
2020-07-28,76.096,80.98,77.71,80.02,14481.34828822
2020-07-29,78.696,84.708,80.104,81.494,18132.3174277
2020-07-30,79.444,82.884,81.305,81.44,8202.5088315
2020-07-31,80.021,83.773,81.619,82.575,10240.65006574
2020-08-01,81.809,94.632,82.574,93.252,26999.03577769
2020-08-02,82.0,95.515,93.219,85.2,20393.90577789
2020-08-03,83.891,89.852,85.129,87.744,16672.2366435
2020-08-04,85.37,89.247,87.819,86.94,9574.92643263
2020-08-05,85.915,93.652,86.98,92.262,13940.42564998
2020-08-06,90.319,105.929,92.312,100.524,43852.93175591
2020-08-07,92.267,107.85,100.533,96.582,36098.75606542
2020-08-08,94.5,102.387,96.581,98.33,25758.59632228
2020-08-09,94.789,99.0,98.338,97.659,19534.8452789
2020-08-10,93.555,98.397,97.658,95.515,14899.66759691
2020-08-11,85.217,96.727,95.642,88.587,16625.32612272
2020-08-12,84.413,92.3,88.575,91.846,29874.16491695
2020-08-13,85.659,93.314,91.743,92.787,22038.6739321
2020-08-14,89.997,92.943,92.798,92.319,16034.05953179
2020-08-15,91.286,95.986,92.377,94.058,16506.65522243
2020-08-16,91.288,95.535,94.049,95.181,33236.25093203
2020-08-17,92.881,100.549,95.19,97.81,22248.9919479
2020-08-18,92.0,98.888,97.605,92.762,16027.61512924
2020-08-19,86.8,93.88,92.984,87.837,15322.6890782
2020-08-20,87.251,91.757,87.721,91.454,12198.66105732
2020-08-21,86.542,95.973,91.493,86.639,18093.84995207
2020-08-22,85.001,90.99,86.639,90.847,11435.05825658
2020-08-23,87.73,93.324,90.943,91.581,9023.87657595
2020-08-24,89.321,93.39,91.58,91.795,8209.93154277
2020-08-25,82.617,91.813,91.721,84.567,12309.04141031
2020-08-26,83.661,87.3,84.486,85.965,7689.79119458
2020-08-27,81.707,86.577,85.982,83.409,7820.70244251
2020-08-28,82.503,86.141,83.3,84.906,5712.45006946
2020-08-29,84.257,86.756,85.0,85.12,4924.61039262
2020-08-30,84.989,88.942,85.03,88.335,12809.57500672
2020-08-31,85.799,88.942,88.242,86.107,6037.6040677
2020-09-01,85.14,90.744,86.171,89.186,11644.31921653
2020-09-02,80.321,89.685,89.101,83.384,12124.02943286
2020-09-03,64.351,83.698,83.245,68.0,17135.00766332
2020-09-04,66.701,73.866,68.255,73.352,19603.41773785
2020-09-05,64.643,74.5,73.678,68.05,12042.60404688
2020-09-06,66.089,71.664,68.029,70.155,5983.62414412
2020-09-07,65.855,79.737,70.203,76.249,14074.70853251
2020-09-08,70.1,78.054,76.249,74.636,15266.17104841
2020-09-09,74.157,77.398,74.65,75.668,7554.46618769
2020-09-10,75.137,77.807,75.675,77.035,4884.96433731
2020-09-11,74.37,77.442,77.068,77.083,3657.89448588
2020-09-12,75.656,79.96,77.078,79.406,4860.13423301
2020-09-13,73.352,79.199,79.199,75.433,5954.43589844
2020-09-14,73.635,76.755,75.432,75.168,3142.41230512
2020-09-15,72.67,76.049,75.166,72.926,6295.94968561
2020-09-16,71.0,74.177,72.908,72.949,3808.22996425
2020-09-17,71.371,74.667,72.948,73.229,3816.02353015
2020-09-18,70.535,73.627,73.229,72.07,6941.79425
2020-09-19,71.436,73.394,72.09,72.747,3638.90928229
2020-09-20,69.425,72.897,72.802,70.567,4240.12253823
2020-09-21,64.662,71.542,70.514,66.792,12657.52687436
2020-09-22,66.508,69.415,66.668,68.149,5507.21755528
2020-09-23,64.283,68.485,68.179,64.71,5082.5120267
2020-09-24,64.32,68.419,64.77,67.757,3767.72790803
2020-09-25,66.554,69.527,67.746,68.581,7882.24384751
2020-09-26,68.433,69.854,68.659,69.011,4057.86204252
2020-09-27,67.226,70.105,69.088,68.89,3700.68565461
2020-09-28,67.061,69.957,68.903,67.34,6194.9397259
2020-09-29,66.698,68.701,67.188,68.529,5010.72080387
2020-09-30,66.641,69.115,68.561,69.097,2197.0330468
2020-10-01,67.122,71.0,69.098,67.97,9140.26946571
2020-10-02,64.0,68.762,67.921,65.874,8313.24345334
2020-10-03,65.284,66.519,65.833,65.494,2110.17551179
2020-10-04,65.03,66.775,65.522,66.458,2064.98050376
2020-10-05,65.606,67.069,66.603,67.069,2838.94723397
2020-10-06,64.592,69.093,67.079,65.274,11304.23801926
2020-10-07,64.001,66.282,65.081,65.882,2745.6518539
